Strategy,Method_Category,Algorithm/Model,Asset_Class,Frequency,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Annual_Return,CPU_Load_%,GPU_Load_%,Memory_GB,Storage_GB,Tech_Dependencies,Risk_Management,Scalability
Pairs Trading (Cointegration & z-score),Mean Reversion,Key model: Pairs Trading,Equities,Intraday,2.33,1.19,-0.25,0.14,31,10,8,16,Python; pandas; numpy; statsmodels; Backtrader; TensorFlow/Keras; CUDA; PyTorch; CUDA; cuDNN,Vol targeting; position sizing (Kelly cap); hard stop-loss; trailing stop; VaR/ES limits,Benefits from GPU; scales with VRAM
Pairs Trading (Kalman Filter),Mean Reversion,Key model: Pairs Trading,Equities,Intraday,0.87,1.84,-0.21,0.1,37,10,8,16,PyTorch; CUDA; cuDNN; Python; pandas; numpy; TA-Lib; vectorbt; Numba; Ray; Dask for parallelism,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Index Mean Reversion (Bollinger Bands),Mean Reversion,Key model: Index Mean Reversion,Equities,Swing,2.74,1.12,-0.15,0.23,46,4,4,11,Numba; Ray; Dask for parallelism; Python; sklearn; xgboost; lightgbm; Python; pandas; numpy; statsmodels; Backtrader,Vol targeting; position sizing (Kelly cap); hard stop-loss; trailing stop; VaR/ES limits,Benefits from GPU; scales with VRAM
ETF Mean Reversion Rotation,Mean Reversion,Key model: ETF Mean Reversion Rotation,ETFs,Swing,1.71,2.32,-0.24,0.15,27,7,7,9,PyTorch; CUDA; cuDNN; Python; pandas; numpy; statsmodels; Backtrader; TensorFlow/Keras; CUDA,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
FX Range Reversion (RSI),Mean Reversion,Key model: FX Range Reversion,Forex,Intraday,2.79,3.2,-0.14,0.2,29,0,8,11,Numba; Ray; Dask for parallelism; Python; sklearn; xgboost; lightgbm; Python; pandas; numpy; statsmodels; Backtrader,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Scales on multi-core; GPU optional
Crypto Market-Making (Spread Reversion),Mean Reversion,Key model: Crypto Market-Making,Crypto,High-frequency,2.88,2.39,-0.22,0.25,35,5,5,11,Zipline; Qlib; Backtrader; Python; sklearn; xgboost; lightgbm; Python; pandas; numpy; statsmodels; Backtrader,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
Commodities Calendar Spread Reversion,Mean Reversion,Key model: Commodities Calendar Spread Reversion,Commodities,Swing,2.08,1.93,-0.22,0.15,60,3,8,13,Numba; Ray; Dask for parallelism; Python; pandas; numpy; statsmodels; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt,Vol targeting; position sizing (Kelly cap); hard stop-loss; trailing stop; VaR/ES limits,Benefits from GPU; scales with VRAM
Intraday VWAP Reversion,Mean Reversion,Key model: Intraday VWAP Reversion,Equities,Intraday,2.73,2.46,-0.29,0.26,45,3,8,15,PyTorch; CUDA; cuDNN; Zipline; Qlib; Backtrader; Numba; Ray; Dask for parallelism,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
Bid-Ask Bounce Reversion,Mean Reversion,Key model: Bid-Ask Bounce Reversion,Equities,High-frequency,1.44,1.94,-0.2,0.15,52,9,6,13,Python; pandas; numpy; TA-Lib; vectorbt; Numba; Ray; Dask for parallelism; TensorFlow/Keras; CUDA,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Stat-Arb Sector-Neutral Mean Reversion,Mean Reversion,Key model: Stat-Arb Sector-Neutral Mean Reversion,Equities,Intraday,1.02,1.26,-0.28,0.21,52,9,3,14,PyTorch; CUDA; cuDNN; TensorFlow/Keras; CUDA; Numba; Ray; Dask for parallelism,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Time-Series Momentum (12M lookback),Momentum / Trend,Key model: Time-Series Momentum,Multi-Asset (Futures),Monthly,1.38,1.85,-0.35,0.18,31,8,4,15,Python; sklearn; xgboost; lightgbm; Python; pandas; numpy; statsmodels; Backtrader; Numba; Ray; Dask for parallelism,Intraday kill-switch; regime filters; drawdown-based de-risking,Benefits from GPU; scales with VRAM
Cross-Sectional Momentum (Equities),Momentum / Trend,Key model: Cross-Sectional Momentum,Equities,Monthly,0.73,0.9,-0.23,0.18,26,2,6,6,Numba; Ray; Dask for parallelism; Zipline; Qlib; Backtrader; Python; sklearn; xgboost; lightgbm,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
Dual Momentum (Equity/Bond Rotation),Momentum / Trend,Key model: Dual Momentum,ETFs,Monthly,0.72,1.74,-0.26,0.19,26,0,6,10,PyTorch; CUDA; cuDNN; Python; pandas; numpy; statsmodels; Backtrader; Zipline; Qlib; Backtrader,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Scales on multi-core; GPU optional
ADX Trend Following (Futures),Momentum / Trend,Key model: ADX Trend Following,Futures,Swing,1.3,1.81,-0.3,0.09,28,1,2,12,Numba; Ray; Dask for parallelism; Python; pandas; numpy; statsmodels; Backtrader; TensorFlow/Keras; CUDA,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
Turtle Breakout (ATR position),Momentum / Trend,Key model: Turtle Breakout,Futures,Swing,0.7,1.42,-0.26,0.12,29,6,3,13,Numba; Ray; Dask for parallelism; Zipline; Qlib; Backtrader; Python; pandas; numpy; TA-Lib; vectorbt,Hedging overlays (index futures/options); daily risk budgeting; max leverage cap,Benefits from GPU; scales with VRAM
Commodity Trend (managed futures),Momentum / Trend,Key model: Commodity Trend,Futures,Monthly,0.92,1.64,-0.29,0.21,24,1,3,8,Python; pandas; numpy; statsmodels; Backtrader; Python; sklearn; xgboost; lightgbm; Numba; Ray; Dask for parallelism,Position sizing (vol parity); 2xATR stop; portfolio-level max DD circuit-breaker,Benefits from GPU; scales with VRAM
FX Trend (time-series),Momentum / Trend,Key model: FX Trend,Forex,Monthly,1.07,0.91,-0.23,0.09,12,0,4,6,TensorFlow/Keras; CUDA; Python; pandas; numpy; TA-Lib; vectorbt; Python; sklearn; xgboost; lightgbm,Intraday kill-switch; regime filters; drawdown-based de-risking,Scales on multi-core; GPU optional
